name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Candidatus Blochmannia sp. SNP	3118169	S	18	26	44	0.00000
Candidatus Blochmanniella vafra	251535	S	3059	73	3132	0.00003
Candidatus Blochmannia ocreatus	251538	S	271	7	278	0.00000
Candidatus Blochmanniella camponoti	108080	S	69	220	289	0.00000
Candidatus Blochmannia vicinus	251540	S	62	18	80	0.00000
Candidatus Blochmanniella pennsylvanica	101534	S	46	2193	2239	0.00002
Candidatus Westeberhardia cardiocondylae	1594731	S	5917	170	6087	0.00006
secondary endosymbiont of Heteropsylla cubana	134287	S	6155	190	6345	0.00006
secondary endosymbiont of Ctenarytaina eucalypti	1199245	S	3399	53	3452	0.00003
Candidatus Regiella endosymbiont of Tuberolachnus salignus	3077956	S	2167	97	2264	0.00002
Candidatus Hamiltonella defensa	138072	S	351	666	1017	0.00001
Candidatus Hoaglandella endobia	1778263	S	7180	224	7404	0.00007
Symbiopectobacterium purcellii	2871826	S	6208	75	6283	0.00006
Candidatus Mikella endobia	1778264	S	4992	575	5567	0.00005
Candidatus Purcelliella pentastirinorum	472834	S	3363	104	3467	0.00003
secondary endosymbiont of Trabutina mannipara	1835721	S	1836	307	2143	0.00002
Candidatus Annandia pinicola	1345117	S	747	340	1087	0.00001
Candidatus Annandia adelgestsuga	1302411	S	385	310	695	0.00001
Candidatus Doolittlea endobia	1778262	S	1242	19	1261	0.00001
Candidatus Gullanella endobia	1070130	S	1219	39	1258	0.00001
Candidatus Tachikawaea gelatinosa	1410383	S	308	34	342	0.00000
Leclercia adecarboxylata	83655	S	17708	4431	22139	0.00021
Leclercia sp. Colony189	2681309	S	1636	1386	3022	0.00003
Leclercia sp. 119287	2681308	S	1350	194	1544	0.00001
Leclercia sp. G3L	2898725	S	1229	453	1682	0.00002
Leclercia sp. LSNIH3	1920116	S	958	9822	10780	0.00010
Leclercia sp. LSNIH1	1920114	S	732	1393	2125	0.00002
Leclercia sp. W17	2282309	S	46	17	63	0.00000
Leclercia sp. W6	2282310	S	23	2	25	0.00000
Leclercia sp. 29361	2714951	S	14	2	16	0.00000
Leclercia pneumoniae	2815358	S	1894	127	2021	0.00002
Shigella flexneri	623	S	14212	148590	162802	0.00152
Shigella dysenteriae	622	S	3253	2682	5935	0.00006
Shigella boydii	621	S	2660	4690	7350	0.00007
Shigella sonnei	624	S	2575	4062	6637	0.00006
Cedecea neteri	158822	S	21938	451	22389	0.00021
Cedecea lapagei	158823	S	148	3	151	0.00000
Cedecea sp. FDAARGOS_727	2545798	S	36	0	36	0.00000
Enterobacteriaceae endosymbiont of Plateumaris consimilis	2675794	S	1224	3095	4319	0.00004
Enterobacteriaceae endosymbiont of Donacia proxima	2675782	S	939	3085	4024	0.00004
Enterobacteriaceae endosymbiont of Plateumaris sericea	2675797	S	581	1739	2320	0.00002
Enterobacteriaceae endosymbiont of Plateumaris pusilla	2675795	S	561	1677	2238	0.00002
Enterobacteriaceae endosymbiont of Neohaemonia nigricornis	2675792	S	518	133	651	0.00001
Enterobacteriaceae endosymbiont of Plateumaris braccata	2675793	S	412	975	1387	0.00001
Enterobacteriaceae endosymbiont of Donacia tomentosa	2675787	S	373	121	494	0.00000
Enterobacteriaceae endosymbiont of Donacia cincticornis	2675773	S	295	768	1063	0.00001
Enterobacteriaceae endosymbiont of Donacia provostii	2675781	S	140	190	330	0.00000
Enterobacteriaceae endosymbiont of Donacia clavipes	2675775	S	130	677	807	0.00001
Enterobacteriaceae endosymbiont of Macroplea appendiculata	2675790	S	106	105	211	0.00000
Enterobacteriaceae endosymbiont of Donacia piscatrix	2675780	S	83	261	344	0.00000
Enterobacteriaceae endosymbiont of Macroplea mutica	2675791	S	74	72	146	0.00000
Enterobacteriaceae endosymbiont of Donacia bicoloricornis	2675772	S	31	71	102	0.00000
Enterobacteriaceae endosymbiont of Donacia versicolorea	2675788	S	25	334	359	0.00000
Enterobacteriaceae endosymbiont of Donacia semicuprea	2675783	S	25	128	153	0.00000
Enterobacteriaceae endosymbiont of Plateumaris rustica	2675796	S	21	37	58	0.00000
Enterobacteriaceae endosymbiont of Donacia thalassina	2675786	S	14	31	45	0.00000
Enterobacteriaceae endosymbiont of Donacia crassipes	2675776	S	14	49	63	0.00000
Enterobacteriaceae endosymbiont of Donacia dentata	2675777	S	12	160	172	0.00000
Enterobacteriaceae endosymbiont of Donacia sparganii	2675785	S	10	20	30	0.00000
Enterobacteriaceae endosymbiont of Donacia cinerea	2675774	S	10	34	44	0.00000
Superficieibacter sp. HKU1	3031919	S	16579	404	16983	0.00016
Kosakonia cowanii	208223	S	7194	3602	10796	0.00010
Kosakonia oryzae	497725	S	313	163	476	0.00000
Kosakonia arachidis	551989	S	247	27	274	0.00000
Kosakonia pseudosacchari	1646340	S	178	44	222	0.00000
Kosakonia radicincitans	283686	S	103	61	164	0.00000
Kosakonia sp. SMBL-WEM22	2725560	S	28	7	35	0.00000
Kosakonia sp. BYX6	3139408	S	20	0	20	0.00000
Kosakonia sp. CCTCC M2018092	2492396	S	19	16	35	0.00000
Kosakonia sp. ML.JS2a	2980557	S	19	3	22	0.00000
Kosakonia sacchari	1158459	S	45	12	57	0.00000
Candidatus Moranella endobia	1048758	S	9209	0	9209	0.00009
Candidatus Profftia sp. (ex Adelges kitamiensis)	2864218	S	2225	13	2238	0.00002
Candidatus Profftia tarda	1177216	S	1720	9	1729	0.00002
Candidatus Profftia lariciata	1987921	S	1644	24	1668	0.00002
Kluyvera cryocrescens	580	S	1153	262	1415	0.00001
Kluyvera genomosp. 3	2774055	S	219	1721	1940	0.00002
Kluyvera sp. CRP	2873269	S	185	1310	1495	0.00001
Kluyvera ascorbata	51288	S	154	206	360	0.00000
Kluyvera intermedia	61648	S	119	12	131	0.00000
Lelliottia amnigena	61646	S	4900	280	5180	0.00005
Lelliottia sp. WB101	2153385	S	56	15	71	0.00000
Lelliottia sp. AC1	2067959	S	49	13	62	0.00000
Lelliottia sp. JS-SCA-14	3110110	S	47	2	49	0.00000
Candidatus Riesia pediculischaeffi	428411	S	2123	1520	3643	0.00003
Candidatus Riesia pediculicola	401619	S	864	551	1415	0.00001
[Enterobacter] lignolyticus	1334193	S	4544	207	4751	0.00004
Pluralibacter gergoviae	61647	S	266	10	276	0.00000
Shimwellia blattae	563	S	4551	77	4628	0.00004
Cronobacter sakazakii	28141	S	3444	5640	9084	0.00008
Cronobacter dublinensis	413497	S	27	0	27	0.00000
Cronobacter malonaticus	413503	S	21	1	22	0.00000
Candidatus Ishikawella capsulata	168169	S	3153	21	3174	0.00003
Plesiomonas shigelloides	703	S	2673	110	2783	0.00003
Trabulsiella odontotermitis	379893	S	1954	183	2137	0.00002
Buttiauxella sp. WJP83	2986951	S	1178	251	1429	0.00001
Buttiauxella ferragutiae	82989	S	47	101	148	0.00000
Buttiauxella selenatireducens	3073902	S	30	6	36	0.00000
Jejubacter calystegiae	2579935	S	1051	12	1063	0.00001
Yokenella regensburgei	158877	S	991	46	1037	0.00001
Candidatus Schneideria nysicola	1081631	S	949	4	953	0.00001
Scandinavium goeteborgense	1851514	S	791	17	808	0.00001
Phytobacter ursingii	1972431	S	436	106	542	0.00001
Phytobacter diazotrophicus	395631	S	54	320	374	0.00000
Pseudescherichia vulneris	566	S	562	64	626	0.00001
Franconibacter daqui	2047724	S	491	8	499	0.00000
Pseudocitrobacter corydidari	2891570	S	78	2	80	0.00000
Atlantibacter hermannii	565	S	69	5	74	0.00000
Siccibacter colletis	1505757	S	73	1	74	0.00000
Morganella morganii	582	S	68002	20649	88651	0.00083
Proteus mirabilis	584	S	51623	7354	58977	0.00055
Proteus penneri	102862	S	9425	1048	10473	0.00010
Proteus terrae	1574161	S	4240	7339	11579	0.00011
Proteus vulgaris	585	S	346	66	412	0.00000
