name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Hoeflea phototrophica	244596	S	707	109	816	0.00007
Ciceribacter thiooxidans	1969821	S	1147	252	1399	0.00012
Georhizobium profundi	2341112	S	999	388	1387	0.00012
uncultured Gellertiella sp.	2040489	S	690	201	891	0.00008
Peteryoungia desertarenae	1813451	S	450	100	550	0.00005
Liberibacter crescens	1273132	S	29	10	39	0.00000
Candidatus Liberibacter asiaticus	34021	S	27	35	62	0.00001
Candidatus Liberibacter solanacearum	556287	S	26	5	31	0.00000
Candidatus Liberibacter africanus	34020	S	17	3	20	0.00000
Candidatus Liberibacter americanus	309868	S	17	4	21	0.00000
Lentilitoribacter sp. Alg239-R112	2305987	S	87	3	90	0.00001
Mesorhizobium sp. 8	2584466	S	1784	448	2232	0.00019
Mesorhizobium sp. WR6	3074855	S	1758	194	1952	0.00017
Mesorhizobium sp. J8	2777475	S	1445	428	1873	0.00016
Mesorhizobium sp. AR07	2865838	S	1423	773	2196	0.00019
Mesorhizobium sp. B2-8-5	2589903	S	1337	415	1752	0.00015
Mesorhizobium sp. B1-1-8	2589976	S	1323	280	1603	0.00014
Mesorhizobium sp. Pch-S	2082387	S	1301	220	1521	0.00013
Mesorhizobium sp. INR15	2654248	S	1251	174	1425	0.00012
Mesorhizobium sp. DCY119	2108445	S	1223	322	1545	0.00013
Mesorhizobium sp. M1B.F.Ca.ET.045.04.1.1	2493673	S	1208	470	1678	0.00015
Mesorhizobium sp. M1E.F.Ca.ET.045.02.1.1	2493672	S	1197	611	1808	0.00016
Mesorhizobium sp. 131-2-1	2744518	S	1172	749	1921	0.00017
Mesorhizobium sp. PAMC28654	2880934	S	1158	222	1380	0.00012
Mesorhizobium sp. M1D.F.Ca.ET.043.01.1.1	2493669	S	1151	705	1856	0.00016
Mesorhizobium sp. AR10	2865839	S	1141	451	1592	0.00014
Mesorhizobium sp. M3A.F.Ca.ET.080.04.2.1	2493676	S	1135	375	1510	0.00013
Mesorhizobium sp. 113-1-2	2744515	S	1133	782	1915	0.00017
Mesorhizobium sp. B2-1-1	2589974	S	1119	260	1379	0.00012
Mesorhizobium sp. M4B.F.Ca.ET.058.02.1.1	2493675	S	1067	459	1526	0.00013
Mesorhizobium sp. M1A.F.Ca.IN.022.06.1.1	2493680	S	1034	323	1357	0.00012
Mesorhizobium sp. M7D.F.Ca.US.005.01.1.1	2493678	S	1010	436	1446	0.00013
Mesorhizobium sp. B2-1-8	2589967	S	973	276	1249	0.00011
Mesorhizobium sp. M9A.F.Ca.ET.002.03.1.2	2493668	S	916	438	1354	0.00012
Mesorhizobium sp. B4-1-4	2589888	S	872	219	1091	0.00010
Mesorhizobium sp. NZP2298	2483403	S	862	586	1448	0.00013
Mesorhizobium sp. L-2-11	2744521	S	837	603	1440	0.00013
Mesorhizobium sp. AR02	2865837	S	832	495	1327	0.00012
Mesorhizobium sp. NZP2077	2483404	S	829	325	1154	0.00010
Mesorhizobium sp. M2A.F.Ca.ET.043.05.1.1	2493671	S	815	564	1379	0.00012
Mesorhizobium sp. 113-3-3	2744516	S	751	550	1301	0.00011
Mesorhizobium sp. M8A.F.Ca.ET.057.01.1.1	2493679	S	744	272	1016	0.00009
Mesorhizobium sp. M7A.F.Ce.TU.012.03.2.1	2493681	S	711	301	1012	0.00009
Mesorhizobium sp. L-8-3	2744522	S	686	1994	2680	0.00023
Mesorhizobium sp. 113-3-9	2744517	S	668	627	1295	0.00011
Mesorhizobium sp. L-8-10	2744523	S	615	1718	2333	0.00020
Mesorhizobium sp. NBSH29	2654249	S	523	35	558	0.00005
Mesorhizobium sp. M2A.F.Ca.ET.046.03.2.1	2493674	S	470	1047	1517	0.00013
Mesorhizobium sp. M2A.F.Ca.ET.043.02.1.1	2493670	S	434	901	1335	0.00012
Mesorhizobium sp. AA22	1854057	S	427	396	823	0.00007
Mesorhizobium sp. M6A.T.Cr.TU.016.01.1.1	2493677	S	336	630	966	0.00008
Mesorhizobium sp. WSM4906	3038546	S	291	821	1112	0.00010
Mesorhizobium sp. WSM4904	3038545	S	267	755	1022	0.00009
Mesorhizobium sp. C089B	2956823	S	199	929	1128	0.00010
Mesorhizobium sp. 131-3-5	2744520	S	196	681	877	0.00008
Mesorhizobium sp. WSM1497	278153	S	163	698	861	0.00008
Mesorhizobium sp. C395A	2956832	S	158	646	804	0.00007
Mesorhizobium sp. C399B	2956833	S	141	783	924	0.00008
Mesorhizobium sp. C120A	2956824	S	128	726	854	0.00007
Mesorhizobium sp. NZP2234	2483402	S	121	810	931	0.00008
Mesorhizobium sp. C432A	2956836	S	118	641	759	0.00007
Mesorhizobium sp. C416B	2956834	S	116	665	781	0.00007
Mesorhizobium sp. 131-2-5	2744519	S	63	594	657	0.00006
Mesorhizobium sp. ISC15	3076429	S	34	49	83	0.00001
Mesorhizobium sp. NBIMC_P2-C4	1380604	S	31	4	35	0.00000
Mesorhizobium sp. WSM4875	3038539	S	26	2	28	0.00000
Mesorhizobium huakuii	28104	S	1763	1443	3206	0.00028
Mesorhizobium opportunistum	593909	S	1722	707	2429	0.00021
Mesorhizobium terrae	2725666	S	1396	640	2036	0.00018
Mesorhizobium amorphae	71433	S	1120	342	1462	0.00013
Mesorhizobium loti	381	S	981	1187	2168	0.00019
Mesorhizobium onobrychidis	2775404	S	921	377	1298	0.00011
Mesorhizobium ciceri	39645	S	906	2154	3060	0.00027
Mesorhizobium australicum	536018	S	822	371	1193	0.00010
Mesorhizobium erdmanii	1777866	S	768	316	1084	0.00009
Mesorhizobium japonicum	2066070	S	653	635	1288	0.00011
Mesorhizobium mediterraneum	43617	S	270	494	764	0.00007
Mesorhizobium jarvisii	1777867	S	99	1867	1966	0.00017
Nitratireductor mangrovi	2599600	S	1655	402	2057	0.00018
Nitratireductor thuwali	2267699	S	1423	487	1910	0.00017
Nitratireductor sp. OM-1	1756988	S	687	214	901	0.00008
Nitratireductor sp.	1872084	S	480	157	637	0.00006
Nitratireductor sp. GZWM139	2950541	S	61	216	277	0.00002
Nitratireductor rhodophyticola	2854036	S	694	775	1469	0.00013
Nitratireductor kimnyeongensis	430679	S	485	151	636	0.00006
Aquibium microcysteis	675281	S	2711	869	3580	0.00031
Aquibium oceanicum	1670800	S	1927	545	2472	0.00022
Aminobacter sp. MSH1	374606	S	459	1378	1837	0.00016
Aminobacter sp. SR38	2774562	S	259	4079	4338	0.00038
Aminobacter sp. NyZ550	2979870	S	196	1587	1783	0.00016
Aminobacter sp. MDW-2	2666139	S	139	1570	1709	0.00015
Aminobacter sp. SS-2016	1870862	S	100	490	590	0.00005
Aminobacter sp. P9b	3133697	S	17	15	32	0.00000
Aminobacter niigataensis	83265	S	384	706	1090	0.00010
Aminobacter aminovorans	83263	S	163	551	714	0.00006
Phyllobacterium sp. T1018	555316	S	686	135	821	0.00007
Phyllobacterium sp. A18/5-2	2978392	S	651	202	853	0.00007
Phyllobacterium sp. 628	2718938	S	424	98	522	0.00005
Phyllobacterium sp. T1293	555317	S	417	95	512	0.00004
Phyllobacterium zundukense	1867719	S	1398	391	1789	0.00016
Chelativorans sp. AA-79	3028735	S	1746	667	2413	0.00021
Methylobacterium sp. FF17	2984843	S	2323	469	2792	0.00024
Methylobacterium sp. 17Sr1-1	2202826	S	1953	900	2853	0.00025
Methylobacterium sp. WL1	2603276	S	1920	386	2306	0.00020
Methylobacterium sp. NMS14P	2894310	S	1216	729	1945	0.00017
Methylobacterium sp. AMS5	925818	S	971	817	1788	0.00016
Methylobacterium sp. SyP6R	2718876	S	331	99	430	0.00004
Methylobacterium sp. C1	1479019	S	249	1746	1995	0.00017
